G.U.N.T. Geraetebau GmbH
ET850

1/24/2018

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 3:58:48 PM.88	59	14	27	39	135	135	8.12	241	5.3	2.97	0.517	0
1/24/2018 3:58:48 PM.38	59	13	26	39	135	135	8.19	238	5.4	2.97	0.517	0
1/24/2018 3:58:47 PM.88	59	14	26	40	135	135	8.23	242	5.4	2.97	0.519	0
1/24/2018 3:58:47 PM.38	59	14	26	39	135	135	8.32	244	5.4	2.98	0.517	1
1/24/2018 3:58:46 PM.88	59	14	26	39	135	135	8.16	243	5.4	2.97	0.516	0
1/24/2018 3:58:46 PM.39	59	14	26	39	135	135	8.16	243	5.3	2.98	0.515	0
1/24/2018 3:58:45 PM.88	59	13	26	39	135	135	8.09	242	5.4	2.98	0.516	0
1/24/2018 3:58:45 PM.38	59	13	26	39	135	135	8.19	245	5.4	2.98	0.516	0
1/24/2018 3:58:44 PM.88	59	14	26	40	135	135	8.12	245	5.4	2.98	0.517	0
1/24/2018 3:58:44 PM.39	59	14	26	40	135	135	8.33	245	5.4	2.98	0.517	1
1/24/2018 3:58:43 PM.89	59	13	26	39	135	135	8.16	248	5.3	2.98	0.520	0
1/24/2018 3:58:43 PM.39	59	14	27	40	135	135	8.20	244	5.4	2.98	0.522	0
1/24/2018 3:58:42 PM.89	59	14	26	39	135	135	8.20	243	5.3	2.96	0.520	0
1/24/2018 3:58:42 PM.39	59	14	27	39	135	135	8.32	242	5.4	2.97	0.520	0
1/24/2018 3:58:41 PM.89	59	14	27	39	135	135	8.23	243	5.4	2.97	0.518	0
1/24/2018 3:58:41 PM.39	59	14	26	39	135	135	8.20	245	5.4	2.98	0.520	0
1/24/2018 3:58:40 PM.88	59	14	26	39	134	135	8.16	245	5.4	2.98	0.518	0
1/24/2018 3:58:40 PM.38	59	13	26	40	135	135	8.19	247	5.4	2.97	0.517	0
1/24/2018 3:58:39 PM.89	59	14	26	39	134	135	8.16	245	5.4	2.97	0.517	1
1/24/2018 3:58:39 PM.38	59	14	26	39	135	135	8.10	244	5.4	2.97	0.516	0
1/24/2018 3:58:38 PM.88	59	14	26	40	135	135	8.26	245	5.4	2.95	0.519	0
1/24/2018 3:58:38 PM.39	59	13	26	39	135	135	8.20	246	5.3	2.96	0.521	0
1/24/2018 3:58:37 PM.88	59	13	26	40	135	135	8.17	245	5.3	2.95	0.518	0
1/24/2018 3:58:37 PM.38	59	14	26	39	134	135	8.17	243	5.3	2.96	0.519	0
1/24/2018 3:58:36 PM.89	59	14	26	40	135	135	8.12	248	5.4	2.97	0.520	0
1/24/2018 3:58:36 PM.38	59	14	26	40	135	135	8.16	246	5.4	2.97	0.520	0
1/24/2018 3:58:35 PM.89	59	14	26	40	135	135	8.14	245	5.3	2.96	0.519	0
1/24/2018 3:58:35 PM.38	59	13	26	40	134	135	8.19	245	5.4	2.97	0.516	0
1/24/2018 3:58:34 PM.88	59	14	26	39	135	135	8.23	244	5.4	2.96	0.517	0
1/24/2018 3:58:34 PM.38	59	14	26	39	135	135	8.14	243	5.4	2.95	0.520	0
1/24/2018 3:58:33 PM.89	59	14	26	39	135	135	8.31	243	5.4	2.96	0.520	0
1/24/2018 3:58:33 PM.39	59	14	26	40	134	135	8.20	242	5.4	2.96	0.520	0
1/24/2018 3:58:32 PM.88	59	13	26	39	135	135	8.19	244	5.4	2.98	0.519	0
1/24/2018 3:58:32 PM.38	58	14	26	40	135	135	8.22	243	5.3	2.97	0.520	1
1/24/2018 3:58:31 PM.88	59	13	26	40	134	135	8.19	245	5.3	2.96	0.520	0
1/24/2018 3:58:31 PM.39	59	13	26	40	135	135	8.20	243	5.3	2.97	0.520	0
1/24/2018 3:58:30 PM.88	59	14	26	39	135	135	8.28	243	5.3	2.96	0.521	0
1/24/2018 3:58:30 PM.39	59	14	26	39	134	135	8.20	245	5.4	2.97	0.520	0
1/24/2018 3:58:29 PM.89	59	13	26	40	135	135	8.12	244	5.4	2.97	0.520	0
1/24/2018 3:58:29 PM.38	59	14	26	39	135	135	8.22	249	5.4	2.98	0.520	0
1/24/2018 3:58:28 PM.88	59	14	27	39	135	135	8.19	249	5.4	2.97	0.520	0
1/24/2018 3:58:28 PM.39	59	13	26	39	135	135	8.19	248	5.4	2.97	0.519	0
1/24/2018 3:58:27 PM.88	59	14	26	40	134	135	8.20	248	5.4	2.97	0.519	0
1/24/2018 3:58:27 PM.39	59	14	26	39	135	135	8.17	248	5.4	2.97	0.520	1
1/24/2018 3:58:26 PM.89	59	14	26	40	135	135	8.25	245	5.4	2.97	0.519	0
1/24/2018 3:58:26 PM.39	59	14	26	39	135	135	8.17	246	5.4	2.97	0.520	0
1/24/2018 3:58:25 PM.89	59	13	26	39	135	135	8.17	245	5.4	2.95	0.518	0
1/24/2018 3:58:25 PM.38	59	14	26	39	134	135	8.25	247	5.3	2.95	0.518	0
1/24/2018 3:58:24 PM.88	59	14	26	39	134	135	8.10	246	5.3	2.95	0.517	0
