G.U.N.T. Geraetebau GmbH
ET850

1/24/2018 NKD 

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 4:36:53 PM.87	59	14	31	39	140	183	7.12	191	5.7	3.03	0.472	0
1/24/2018 4:36:53 PM.37	59	14	32	40	140	183	7.24	192	5.7	3.03	0.473	1
1/24/2018 4:36:52 PM.87	59	14	31	40	140	183	7.19	192	5.7	3.02	0.473	0
1/24/2018 4:36:52 PM.37	59	14	31	40	141	183	7.22	194	5.7	3.02	0.472	0
1/24/2018 4:36:51 PM.87	59	14	31	40	140	183	7.27	193	5.8	3.02	0.473	0
1/24/2018 4:36:51 PM.37	59	14	31	40	140	183	7.34	192	5.8	3.03	0.474	0
1/24/2018 4:36:50 PM.87	59	14	31	40	140	183	7.16	195	5.8	3.04	0.475	0
1/24/2018 4:36:50 PM.37	59	14	31	40	140	183	7.24	195	5.8	3.04	0.475	0
1/24/2018 4:36:49 PM.87	59	14	31	40	140	183	7.28	195	5.7	3.02	0.473	0
1/24/2018 4:36:49 PM.37	59	14	31	40	140	183	7.22	196	5.7	3.02	0.472	0
1/24/2018 4:36:48 PM.87	59	14	32	40	140	183	7.24	198	5.7	3.02	0.472	0
1/24/2018 4:36:48 PM.37	59	14	32	40	140	183	7.25	195	5.7	3.00	0.473	0
1/24/2018 4:36:47 PM.87	59	14	32	40	140	183	7.24	195	5.7	3.00	0.477	0
1/24/2018 4:36:47 PM.37	59	14	32	40	140	183	7.19	198	5.7	3.01	0.475	0
1/24/2018 4:36:46 PM.87	59	14	32	40	140	183	7.10	196	5.7	3.02	0.476	0
1/24/2018 4:36:46 PM.37	59	14	32	40	140	183	7.22	193	5.7	3.01	0.475	0
1/24/2018 4:36:45 PM.87	60	14	31	40	140	183	7.22	193	5.7	3.02	0.477	0
1/24/2018 4:36:45 PM.37	59	14	32	40	140	183	7.22	193	5.7	3.02	0.474	0
1/24/2018 4:36:44 PM.87	60	14	32	40	140	184	7.22	198	5.7	3.03	0.477	0
1/24/2018 4:36:44 PM.37	59	14	32	39	140	183	7.13	198	5.7	3.04	0.475	0
1/24/2018 4:36:43 PM.87	59	13	32	40	140	184	7.29	192	5.7	3.05	0.477	0
1/24/2018 4:36:43 PM.37	59	14	32	40	140	184	7.25	193	5.8	3.04	0.477	0
1/24/2018 4:36:42 PM.87	60	14	32	40	140	184	7.25	195	5.7	3.02	0.474	0
1/24/2018 4:36:42 PM.37	59	14	31	40	140	184	7.27	196	5.7	3.02	0.477	0
1/24/2018 4:36:41 PM.87	59	14	31	40	140	184	7.25	193	5.7	3.02	0.477	0
1/24/2018 4:36:41 PM.37	59	14	31	40	140	184	7.29	192	5.7	3.02	0.475	0
1/24/2018 4:36:40 PM.87	59	14	31	40	140	184	7.24	192	5.7	3.02	0.475	1
1/24/2018 4:36:40 PM.37	59	14	31	40	140	184	7.29	195	5.7	3.03	0.475	0
1/24/2018 4:36:39 PM.87	59	14	31	40	140	184	7.16	195	5.7	3.02	0.474	0
1/24/2018 4:36:39 PM.37	59	14	31	40	139	184	7.13	198	5.7	3.01	0.473	0
1/24/2018 4:36:38 PM.87	59	13	32	40	140	184	7.22	199	5.7	2.99	0.474	0
1/24/2018 4:36:38 PM.37	59	14	31	40	140	184	7.18	193	5.7	3.01	0.475	0
1/24/2018 4:36:37 PM.87	59	14	31	40	140	184	7.25	196	5.8	3.01	0.475	0
1/24/2018 4:36:37 PM.37	59	14	31	40	140	184	7.15	193	5.7	3.00	0.475	0
1/24/2018 4:36:36 PM.87	59	14	31	40	140	184	7.16	195	5.7	3.00	0.477	0
1/24/2018 4:36:36 PM.37	59	13	31	40	140	184	7.22	196	5.7	3.02	0.477	1
1/24/2018 4:36:35 PM.87	59	13	31	40	140	184	7.22	198	5.7	3.01	0.477	1
1/24/2018 4:36:35 PM.37	59	14	31	40	139	184	7.25	200	5.8	3.02	0.476	0
1/24/2018 4:36:34 PM.87	60	14	31	40	140	184	7.22	202	5.7	3.04	0.476	0
1/24/2018 4:36:34 PM.37	59	13	31	40	140	184	7.24	200	5.7	3.02	0.476	1
1/24/2018 4:36:33 PM.87	59	14	31	40	139	184	7.19	198	5.7	3.04	0.475	0
1/24/2018 4:36:33 PM.37	59	14	32	40	139	184	7.21	199	5.7	3.03	0.477	0
1/24/2018 4:36:32 PM.87	59	14	32	40	139	184	7.12	196	5.7	3.02	0.477	1
1/24/2018 4:36:32 PM.37	59	14	32	40	139	184	7.21	197	5.7	3.02	0.476	0
1/24/2018 4:36:31 PM.87	59	14	31	40	139	184	7.24	193	5.7	3.02	0.480	0
1/24/2018 4:36:31 PM.37	59	14	31	40	140	184	7.21	196	5.7	3.02	0.480	0
1/24/2018 4:36:30 PM.87	59	14	32	40	139	184	7.21	194	5.8	3.01	0.478	0
1/24/2018 4:36:30 PM.37	59	14	31	40	140	184	7.37	196	5.7	3.02	0.475	0
1/24/2018 4:36:29 PM.87	59	14	32	40	139	184	7.00	193	5.7	3.02	0.477	0
1/24/2018 4:36:29 PM.37	59	14	32	40	139	184	7.28	193	5.7	3.02	0.475	0
1/24/2018 4:36:28 PM.87	59	14	32	40	139	184	7.24	196	5.7	2.99	0.475	0
1/24/2018 4:36:28 PM.37	59	13	32	40	139	185	7.22	192	5.7	3.00	0.477	0
1/24/2018 4:36:27 PM.87	59	14	31	40	139	185	7.27	192	5.7	3.02	0.476	0
1/24/2018 4:36:27 PM.37	59	14	31	40	139	185	7.16	194	5.7	3.02	0.477	0
1/24/2018 4:36:26 PM.87	59	14	31	40	139	185	7.22	195	5.7	3.02	0.476	0
1/24/2018 4:36:26 PM.37	59	14	31	40	139	185	7.24	193	5.7	3.02	0.477	0
1/24/2018 4:36:25 PM.87	59	14	31	40	139	185	7.31	196	5.7	3.02	0.477	0
1/24/2018 4:36:25 PM.37	59	14	31	40	139	185	7.21	196	5.8	3.03	0.478	0
1/24/2018 4:36:24 PM.87	59	13	32	40	139	185	7.19	194	5.7	3.03	0.477	0
1/24/2018 4:36:24 PM.37	59	14	31	40	139	185	7.22	199	5.8	3.04	0.477	0
1/24/2018 4:36:23 PM.87	59	14	32	40	139	185	7.22	200	5.7	3.04	0.479	0
1/24/2018 4:36:23 PM.37	59	14	32	40	139	185	7.38	200	5.7	3.03	0.478	0
1/24/2018 4:36:22 PM.87	60	14	32	40	139	185	7.21	195	5.8	3.02	0.477	0
1/24/2018 4:36:22 PM.37	59	14	32	40	139	185	7.40	198	5.7	3.02	0.475	0
1/24/2018 4:36:21 PM.87	59	14	32	40	138	185	7.37	193	5.8	3.01	0.477	0
1/24/2018 4:36:21 PM.37	59	14	32	40	139	185	7.22	198	5.8	3.02	0.478	0
1/24/2018 4:36:20 PM.87	59	14	32	40	139	185	7.29	200	5.7	3.02	0.478	0
1/24/2018 4:36:20 PM.37	59	14	32	40	139	185	7.22	194	5.7	3.01	0.479	0
1/24/2018 4:36:19 PM.87	59	14	31	40	139	185	7.31	195	5.7	2.99	0.480	0
1/24/2018 4:36:19 PM.37	60	14	31	40	139	185	7.18	192	5.7	3.01	0.480	0
1/24/2018 4:36:18 PM.87	59	13	32	40	139	185	7.22	192	5.7	3.02	0.481	0
1/24/2018 4:36:18 PM.37	59	14	31	40	139	185	7.31	189	5.7	3.02	0.481	1
1/24/2018 4:36:17 PM.87	59	14	32	40	139	185	7.15	193	5.7	3.01	0.477	0
1/24/2018 4:36:17 PM.37	59	14	31	40	139	185	7.28	192	5.7	3.00	0.477	0
1/24/2018 4:36:16 PM.87	60	14	31	39	139	185	7.29	191	5.7	3.02	0.479	0
1/24/2018 4:36:16 PM.37	59	14	32	40	138	185	7.22	195	5.7	3.02	0.479	0
1/24/2018 4:36:15 PM.87	59	14	31	40	139	185	7.27	194	5.8	3.02	0.479	0
1/24/2018 4:36:15 PM.37	60	14	31	40	138	184	7.22	193	5.7	3.01	0.479	0
1/24/2018 4:36:14 PM.87	59	14	32	40	138	185	7.22	193	5.7	3.01	0.479	0
1/24/2018 4:36:14 PM.37	59	14	31	40	139	184	7.13	192	5.7	3.02	0.477	0
1/24/2018 4:36:13 PM.87	59	14	31	40	138	185	7.21	189	5.7	3.02	0.477	0
1/24/2018 4:36:13 PM.37	59	14	31	40	139	185	7.27	194	5.7	3.02	0.477	0
1/24/2018 4:36:12 PM.87	59	14	31	40	139	185	7.24	195	5.7	3.04	0.475	0
1/24/2018 4:36:12 PM.37	59	14	31	40	138	185	7.25	198	5.7	3.04	0.477	0
1/24/2018 4:36:11 PM.87	59	14	31	40	138	185	7.22	197	5.8	3.04	0.475	0
1/24/2018 4:36:11 PM.37	59	14	31	40	138	184	7.24	193	5.8	3.04	0.476	0
1/24/2018 4:36:10 PM.87	59	13	31	40	138	184	7.24	193	5.7	3.03	0.478	0
1/24/2018 4:36:10 PM.37	59	14	31	40	138	184	7.25	196	5.7	3.04	0.477	0
1/24/2018 4:36:09 PM.87	59	14	31	40	138	184	7.27	197	5.7	3.04	0.476	0
1/24/2018 4:36:09 PM.37	59	14	31	40	138	184	7.31	194	5.7	3.04	0.477	0
1/24/2018 4:36:08 PM.87	59	14	31	40	138	184	7.24	193	5.7	3.03	0.478	0
1/24/2018 4:36:08 PM.37	59	14	31	39	138	184	7.19	195	5.7	3.04	0.480	0
1/24/2018 4:36:07 PM.87	59	14	31	40	139	184	7.25	193	5.7	3.03	0.480	0
1/24/2018 4:36:07 PM.37	59	14	31	40	138	184	7.21	198	5.7	3.04	0.477	0
1/24/2018 4:36:06 PM.87	59	14	31	40	139	184	7.19	198	5.7	3.03	0.477	0
